"CountryName","CountryCode","Date","ConfirmedCases","ConfirmedDeaths","StringencyIndex","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"Austria","AUT",2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Austria","AUT",2020-02-24,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"Austria","AUT",2020-02-25,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-02-26,2,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-02-27,2,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-02-28,5,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-02-29,7,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-01,10,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-02,14,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-03,18,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-04,24,0,11.11,0,0,0,0,0,0,0,0,0,0,11128806,0,2,1,1,0,0
"Austria","AUT",2020-03-05,29,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-06,41,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-07,74,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-08,99,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-09,102,0,19.44,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-10,131,0,19.44,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-11,182,0,30.56,0,0,2,0,0,0,0,3,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-12,246,0,34.26,0,1,2,0,0,0,0,3,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-13,361,1,48.15,0,1,2,0,1,0,2,3,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-14,504,1,48.15,0,1,2,0,1,0,2,3,0,0,0,0,2,1,1,0,0
"Austria","AUT",2020-03-15,655,1,48.15,0,1,2,0,1,0,2,3,0,0,4447624206,0,2,1,1,0,0
"Austria","AUT",2020-03-16,860,1,85.19,3,3,2,4,1,2,2,3,0,2,0,0,2,1,1,0,0
"Austria","AUT",2020-03-17,1016,3,85.19,3,3,2,4,1,2,2,3,0,2,0,0,2,1,1,0,0
"Austria","AUT",2020-03-18,1332,3,85.19,3,3,2,4,1,2,2,3,0,2,41182448771,0,2,1,1,0,0
"Austria","AUT",2020-03-19,1646,4,85.19,3,3,2,4,1,2,2,3,2,2,0,0,2,1,1,0,0
"Austria","AUT",2020-03-20,2196,6,85.19,3,3,2,4,1,2,2,3,2,2,0,0,2,1,1,0,0
"Austria","AUT",2020-03-21,2649,6,85.19,3,3,2,4,1,2,2,3,2,2,0,0,2,1,1,0,0
"Austria","AUT",2020-03-22,3024,8,85.19,3,3,2,4,1,2,2,3,2,2,0,0,2,1,1,0,0
"Austria","AUT",2020-03-23,3631,16,85.19,3,3,2,4,1,2,2,3,2,2,0,0,2,2,1,0,0
